# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
A4GALT	A4GALT	NM_001318038.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
A4GALT	A4GALT	NM_017436.7	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ACO2	ACO2	NM_001098.3	protein_coding	0	2	0	10	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	2	3
ACR	ACR.2	NM_001097.3.2	protein_coding	0	1	1	2	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0
ADA2	ADA2	NM_001282225.2	protein_coding	0	1	0	8	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0
ADA2	ADA2	NM_001282226.2	protein_coding	0	1	0	8	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0
ADA2	ADA2	NM_001282227.2	protein_coding	0	1	0	8	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0
ADA2	ADA2	NM_001282228.2	protein_coding	0	1	0	8	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0
ADA2	ADA2	NM_001282229.1	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
ADA2	ADA2	NM_177405.3	protein_coding	0	0	0	8	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2
ADM2	ADM2	NM_001253845.2	protein_coding	0	0	0	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
ADM2	ADM2	NM_001369882.1	protein_coding	0	0	0	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
ADORA2A	ADORA2A	NM_000675.6	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADORA2A	ADORA2A	NM_001278497.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADORA2A	ADORA2A	NM_001278498.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADORA2A	ADORA2A	NM_001278499.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADORA2A	ADORA2A	NM_001278500.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADORA2A	ADORA2A	NR_103543.2		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ADORA2A	ADORA2A	NR_103544.2		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ADORA2A-AS1	ADORA2A-AS1	NR_028483.2		0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1
ADORA2A-AS1	ADORA2A-AS1	NR_028484.3		0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1
ADSL	ADSL	NM_000026.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADSL	ADSL	NM_001123378.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADSL	ADSL	NM_001317923.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADSL	ADSL	NM_001363840.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADSL	ADSL	NR_134256.1		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AIFM3	AIFM3	NM_001018060.3	protein_coding	0	0	0	26	0	0	0	0	0	0	0	4	0	22	0	0	0	0	0	0	0	0
AIFM3	AIFM3	NM_001146288.2	protein_coding	0	0	0	26	0	0	0	0	0	0	0	4	0	22	0	0	0	0	0	0	0	0
AIFM3	AIFM3	NM_144704.3	protein_coding	0	0	0	26	0	0	0	0	0	0	0	4	0	22	0	0	0	0	0	0	0	0
AIFM3	AIFM3	NR_027464.2		0	0	0	26	0	0	0	0	0	0	0	4	0	22	0	0	0	0	0	0	0	0
ALG12	ALG12	NM_024105.4	protein_coding	0	1	0	26	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	18
ANKRD54	ANKRD54	NM_001349853.1	protein_coding	0	0	0	3	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ANKRD54	ANKRD54	NM_001363839.1	protein_coding	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ANKRD54	ANKRD54	NM_138797.4	protein_coding	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ANKRD54	ANKRD54	NR_036556.2		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1
ANKRD54	ANKRD54	NR_146279.1		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1
ANKRD54	ANKRD54	NR_146280.1		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1
AP1B1	AP1B1	NM_001127.3	protein_coding	0	2	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0
AP1B1	AP1B1	NM_001166019.2	protein_coding	0	2	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0
AP1B1	AP1B1	NM_145730.2	protein_coding	0	2	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0
APOBEC3A	APOBEC3A	NM_001270406.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
APOBEC3A	APOBEC3A	NM_145699.4	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
APOBEC3A_B	APOBEC3A_B	NM_001193289.1	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
APOBEC3B	APOBEC3B	NM_001270411.2	protein_coding	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0
APOBEC3B	APOBEC3B	NM_004900.5	protein_coding	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0
APOBEC3B-AS1	APOBEC3B-AS1	NR_104187.1		0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
APOBEC3B-AS1	APOBEC3B-AS1.2	NR_104187.1.2		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
APOBEC3C	APOBEC3C	NM_014508.3	protein_coding	0	0	0	7	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0
APOBEC3D	APOBEC3D	NM_001363781.1	protein_coding	0	0	0	6	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3
APOBEC3D	APOBEC3D	NM_152426.4	protein_coding	0	0	0	6	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3
APOBEC3F	APOBEC3F	NM_001006666.2	protein_coding	0	0	1	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0
APOBEC3F	APOBEC3F	NM_145298.6	protein_coding	0	1	1	4	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0
APOBEC3G	APOBEC3G	NM_001349436.1	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
APOBEC3G	APOBEC3G	NM_001349437.1	protein_coding	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
APOBEC3G	APOBEC3G	NM_001349438.2	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
APOBEC3G	APOBEC3G	NM_021822.4	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
APOBEC3G	APOBEC3G	NR_146179.2		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
APOBEC3H	APOBEC3H	NM_001166002.3	protein_coding	0	1	4	7	1	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	1	0
APOBEC3H	APOBEC3H	NM_001166003.3	protein_coding	0	1	4	7	1	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	1	0
APOBEC3H	APOBEC3H	NM_001166004.2	protein_coding	0	1	3	8	0	0	0	0	0	0	0	4	0	4	3	0	0	0	0	0	1	0
APOBEC3H	APOBEC3H	NM_181773.5	protein_coding	0	1	4	7	1	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	1	0
APOL1	APOL1	NM_001136540.1	protein_coding	0	2	4	9	0	0	0	0	0	0	0	0	0	9	4	0	0	0	0	0	2	0
APOL1	APOL1	NM_001136541.1	protein_coding	0	2	4	9	0	0	0	0	0	0	0	0	0	9	4	0	0	0	0	0	2	0
APOL1	APOL1	NM_001362927.2	protein_coding	0	2	4	9	0	0	0	0	0	0	0	0	0	9	4	0	0	0	0	0	2	0
APOL1	APOL1	NM_003661.4	protein_coding	0	2	4	9	0	0	0	0	0	0	0	0	0	9	4	0	0	0	0	0	2	0
APOL1	APOL1	NM_145343.2	protein_coding	0	2	4	9	0	0	1	0	0	0	0	0	0	8	4	0	0	0	0	0	2	0
APOL2	APOL2	NM_030882.4	protein_coding	0	0	0	3	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
APOL2	APOL2	NM_145637.2	protein_coding	0	0	0	3	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
APOL3	APOL3	NM_014349.3	protein_coding	0	2	0	4	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2
APOL3	APOL3	NM_030644.2	protein_coding	0	2	0	4	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2
APOL3	APOL3	NM_145639.2	protein_coding	0	2	0	4	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2
APOL3	APOL3	NM_145640.2	protein_coding	0	2	1	3	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0
APOL3	APOL3	NM_145641.2	protein_coding	0	1	0	5	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0
APOL3	APOL3	NM_145642.2	protein_coding	0	1	0	5	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0
APOL4	APOL4	NM_030643.4	protein_coding	0	5	3	9	0	1	4	0	0	0	0	0	0	5	3	0	0	0	0	0	4	0
APOL4	APOL4	NM_145660.2	protein_coding	0	4	5	7	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	4	0
APOL5	APOL5.2	NM_030642.1.2	protein_coding	0	1	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1
ARFGAP3	ARFGAP3	NM_001142293.2	protein_coding	0	2	1	5	0	0	0	0	0	0	0	0	0	5	1	0	0	1	0	0	2	0
ARFGAP3	ARFGAP3	NM_014570.5	protein_coding	0	2	1	5	0	0	0	0	0	0	0	0	0	5	1	0	0	1	0	0	2	0
ARHGAP8	ARHGAP8	NM_001017526.1	protein_coding	0	1	2	20	2	0	0	0	0	0	0	0	0	18	2	0	0	0	0	0	1	0
ARHGAP8	ARHGAP8	NM_001198726.1	protein_coding	0	1	1	21	3	0	0	0	0	0	0	0	0	18	1	0	0	0	0	0	1	0
ARHGAP8	ARHGAP8	NM_181335.2	protein_coding	0	1	2	20	2	0	0	0	0	0	0	0	0	18	2	0	0	0	0	0	1	0
ARSA	ARSA	NM_000487.6	protein_coding	0	1	1	4	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	1	0
ARSA	ARSA	NM_001085425.3	protein_coding	0	1	1	4	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	1	0
ARSA	ARSA	NM_001085426.3	protein_coding	0	1	1	4	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	1	0
ARSA	ARSA	NM_001085427.3	protein_coding	0	1	1	4	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	1	0
ARSA	ARSA	NM_001085428.3	protein_coding	0	1	1	4	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	1	0
ARSA	ARSA	NM_001362782.2	protein_coding	0	1	1	4	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	1	0
ARVCF	ARVCF	NM_001670.3	protein_coding	0	1	3	17	0	0	0	0	0	0	0	2	0	15	3	0	0	0	0	0	1	0
ASCC2	ASCC2	NM_001242906.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASCC2	ASCC2	NM_001369920.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASCC2	ASCC2	NM_001369921.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASCC2	ASCC2	NM_001369922.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASCC2	ASCC2	NM_001369923.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASCC2	ASCC2	NM_001369924.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASCC2	ASCC2	NM_001369925.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASCC2	ASCC2	NM_001369926.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASCC2	ASCC2	NM_001369927.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASCC2	ASCC2	NM_001369928.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASCC2	ASCC2	NM_001369929.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASCC2	ASCC2	NM_001369930.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASCC2	ASCC2	NM_001369931.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASCC2	ASCC2	NM_001369932.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASCC2	ASCC2	NM_001369933.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASCC2	ASCC2	NM_001369934.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASCC2	ASCC2	NM_001369935.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASCC2	ASCC2	NM_001369936.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASCC2	ASCC2	NM_001369937.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASCC2	ASCC2	NM_001369938.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASCC2	ASCC2	NM_001369939.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASCC2	ASCC2	NM_001369940.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
